breed,15_images,50_images
Afghan_hound,0.8,0.7666666666666667
Bernese_mountain_dog,0.9,0.9333333333333333
Border_collie,0.8333333333333334,0.8666666666666667
Chihuahua,0.7,0.6333333333333333
Doberman,0.8666666666666667,0.9333333333333333
Eskimo_dog,0.43333333333333335,0.4
French_bulldog,0.7666666666666667,0.8
German_shepherd,0.7,0.7666666666666667
Gordon_setter,0.8,0.8666666666666667
Great_Dane,0.4666666666666667,0.7666666666666667
Great_Pyrenees,0.4666666666666667,0.8
Ibizan_hound,0.8,0.8666666666666667
Irish_wolfhound,0.4,0.5333333333333333
Labrador_retriever,0.5666666666666667,0.7333333333333333
Leonberg,0.8,0.9
Maltese_dog,0.8666666666666667,0.8333333333333334
Mexican_hairless,1.0,0.8666666666666667
Newfoundland,0.7666666666666667,0.8666666666666667
Old_English_sheepdog,0.8,0.8666666666666667
Pomeranian,0.8,0.7
Rhodesian_ridgeback,0.7666666666666667,0.6333333333333333
Rottweiler,0.7333333333333333,0.9
Saint_Bernard,0.8666666666666667,0.9
Saluki,0.36666666666666664,0.6666666666666666
Samoyed,0.8333333333333334,0.8333333333333334
Scottish_deerhound,0.6333333333333333,0.7666666666666667
Shetland_sheepdog,0.4666666666666667,0.6333333333333333
Shih-Tzu,0.5666666666666667,0.8
Siberian_husky,0.4,0.5333333333333333
Tibetan_mastiff,0.7666666666666667,0.7666666666666667
Weimaraner,0.8333333333333334,0.7333333333333333
West_Highland_white_terrier,0.7666666666666667,0.8
Yorkshire_terrier,0.8666666666666667,0.9
basset,0.6,0.8
beagle,0.7666666666666667,0.8
bloodhound,0.5,0.7
borzoi,0.6666666666666666,0.5333333333333333
boxer,0.6666666666666666,0.8333333333333334
collie,0.4666666666666667,0.4666666666666667
dingo,0.7666666666666667,0.8666666666666667
giant_schnauzer,0.7666666666666667,0.8333333333333334
golden_retriever,0.6666666666666666,0.7333333333333333
komondor,0.8333333333333334,0.8333333333333334
kuvasz,0.43333333333333335,0.5666666666666667
malamute,0.4,0.36666666666666664
otterhound,0.7666666666666667,0.8333333333333334
papillon,0.9333333333333333,0.9333333333333333
pug,0.7666666666666667,0.8666666666666667
vizsla,0.8333333333333334,0.7333333333333333
whippet,0.5333333333333333,0.7666666666666667
