breed,15_images,100_images
Afghan_hound,0.6,0.9333333333333333
Bernese_mountain_dog,0.9,1.0
Border_collie,0.6666666666666666,0.8666666666666667
Chihuahua,0.5,0.7
Doberman,0.7,0.7
Eskimo_dog,0.43333333333333335,0.3
French_bulldog,0.7,0.7666666666666667
German_shepherd,0.26666666666666666,0.8666666666666667
Gordon_setter,0.4,0.8666666666666667
Great_Dane,0.23333333333333334,0.8
Great_Pyrenees,0.5,0.6
Ibizan_hound,0.8333333333333334,0.8666666666666667
Irish_wolfhound,0.4666666666666667,0.43333333333333335
Labrador_retriever,0.36666666666666664,0.5
Leonberg,0.6333333333333333,0.9333333333333333
Maltese_dog,0.7,0.9666666666666667
Mexican_hairless,1.0,0.9
Newfoundland,0.5,0.8333333333333334
Old_English_sheepdog,0.6,0.8333333333333334
Pomeranian,0.8333333333333334,0.8333333333333334
Rhodesian_ridgeback,0.43333333333333335,0.6666666666666666
Rottweiler,0.6,0.9333333333333333
Saint_Bernard,0.6666666666666666,0.9
Saluki,0.03333333333333333,0.7666666666666667
Samoyed,0.36666666666666664,0.9
Scottish_deerhound,0.43333333333333335,0.8
Shetland_sheepdog,0.16666666666666666,0.43333333333333335
Shih-Tzu,0.16666666666666666,0.9
Siberian_husky,0.43333333333333335,0.4
Tibetan_mastiff,0.5333333333333333,0.6666666666666666
Weimaraner,0.7666666666666667,0.8
West_Highland_white_terrier,0.6666666666666666,0.9
Yorkshire_terrier,0.8333333333333334,0.8666666666666667
basset,0.5333333333333333,0.8333333333333334
beagle,0.4,0.7333333333333333
bloodhound,0.5333333333333333,0.7
borzoi,0.43333333333333335,0.6666666666666666
boxer,0.4,0.8
collie,0.5666666666666667,0.43333333333333335
dingo,0.6333333333333333,0.9
giant_schnauzer,0.36666666666666664,0.8666666666666667
golden_retriever,0.6666666666666666,0.8
komondor,0.8666666666666667,0.8666666666666667
kuvasz,0.23333333333333334,0.7
malamute,0.3,0.6666666666666666
otterhound,0.6,0.8333333333333334
papillon,0.9333333333333333,0.9333333333333333
pug,0.5,0.8333333333333334
vizsla,0.7,0.7
whippet,0.36666666666666664,0.6
